Variable,Etiqueta,Codigo,Valor
mupio_ocu,Municipio de ocurrencia,914,Cantel
mupio_ocu,Municipio de ocurrencia,915,Huitán
mupio_ocu,Municipio de ocurrencia,916,Zunil
mupio_ocu,Municipio de ocurrencia,917,Colomba
mupio_ocu,Municipio de ocurrencia,918,San Francisco la Unión
mupio_ocu,Municipio de ocurrencia,919,El Palmar
mupio_ocu,Municipio de ocurrencia,920,Coatepeque
mupio_ocu,Municipio de ocurrencia,921,Génova
mupio_ocu,Municipio de ocurrencia,922,Flores Costa Cuca 
mupio_ocu,Municipio de ocurrencia,923,La Esperanza
mupio_ocu,Municipio de ocurrencia,924,Palestina de los Altos
mupio_ocu,Municipio de ocurrencia,1001,Mazatenango
mupio_ocu,Municipio de ocurrencia,1002,Cuyotenango
mupio_ocu,Municipio de ocurrencia,1003,San Francisco Zapotitlán
mupio_ocu,Municipio de ocurrencia,1004,San Bernardino
mupio_ocu,Municipio de ocurrencia,1005,San José el Ídolo
mupio_ocu,Municipio de ocurrencia,1006,Santo Domingo Suchitepéquez
mupio_ocu,Municipio de ocurrencia,1007,San Lorenzo
mupio_ocu,Municipio de ocurrencia,1008,Samayac
mupio_ocu,Municipio de ocurrencia,1009,San Pablo Jocopilas
mupio_ocu,Municipio de ocurrencia,1010,San Antonio Suchitepéquez
mupio_ocu,Municipio de ocurrencia,1011,San Miguel Panán
mupio_ocu,Municipio de ocurrencia,1012,San Gabriel 
mupio_ocu,Municipio de ocurrencia,1013,Chicacao
mupio_ocu,Municipio de ocurrencia,1014,Patulul
mupio_ocu,Municipio de ocurrencia,1015,Santa Bárbara
mupio_ocu,Municipio de ocurrencia,1016,San Juan Bautista
mupio_ocu,Municipio de ocurrencia,1017,Santo Tomas la Unión
mupio_ocu,Municipio de ocurrencia,1018,Zunilito
mupio_ocu,Municipio de ocurrencia,1019,Pueblo Nuevo
mupio_ocu,Municipio de ocurrencia,1020,Río Bravo
mupio_ocu,Municipio de ocurrencia,1021,San José La Máquina
mupio_ocu,Municipio de ocurrencia,1101,Retalhuleu
mupio_ocu,Municipio de ocurrencia,1102,San Sebastián
mupio_ocu,Municipio de ocurrencia,1103,Santa Cruz Muluá
