name,lat,lon
San Martín Sacatepéquez,14.823616,-91.6426288
Sibilia,14.994163,-91.624179
San Francisco Zapotitlán,14.587936,-91.521942
Tulate,14.1578855,-91.7129619
Santa María Nebaj,15.405754,-91.146954
Fray Bartolomé de las Casas,15.805683,-89.8609851
Chahal,15.7899372,-89.6024016
Escuintla,14.3022857,-90.7866243
Zacapa,14.9707219,-89.5297411
Cuilco,15.407495,-91.946828
Jacaltenango,15.666336,-91.7109686
San Carlos Sija,14.983689,-91.54905
Santiago Chimaltenango,15.476337,-91.696735
Sololá,14.7722369,-91.1833175
Quezaltepeque,14.6345618,-89.4423523
Huité,14.9271343,-89.7153093
Acatenango,14.5538872,-90.9423053
Nahualá,14.8432341,-91.3179046
Nueva Santa Catarina Ixtahuacán,14.8540907,-91.358983
Nuevo Palmar,14.6466886,-91.5558701
Pueblo Nuevo,14.647303,-91.539474
Coatepeque,14.7026327,-91.8656361
Chilascó,15.122195,-90.1161177
Ciudad Pedro de Alvarado,13.8718049,-90.0940758
Oratorio,14.2321315,-90.1801791
Ixcán,15.9874734,-90.7811164
Ipala,14.6205897,-89.6211239
Nueva Concepción,14.1850389,-91.299368
Tiquisate,14.2880661,-91.3651093
Comitancillo,15.0907805,-91.7489586
Huitán,15.049498,-91.638009
Cabricán,15.074704,-91.648445
Santa Eulalia,15.7329506,-91.4582368
La Esperanza,14.8694826,-91.5643286
San Mateo,14.858973,-91.592535
Génova,14.622522,-91.835631
San Pablo,14.9330496,-92.0039116
Pueblo Nuevo Viñas,14.225024,-90.4757481
Pajapita,14.723556,-92.0347671
Chicamán,15.3480889,-90.79928
Sanarate,14.7877838,-90.1984477
La Libertad,15.51386,-91.869447
San Antonio Palopó,14.6919414,-91.1164477
Santiago Atitlán,14.6388934,-91.2295526
Sipacate,13.9301931,-91.1472276
San Juan Cotzal,15.4338525,-91.0357596
Santa Avelina,15.4520864,-90.9651684
,15.4280177,-90.9628498
Chajul,15.4849204,-91.0364217
La Mesilla,15.6406255,-91.9807734
San Andrés Osuna,14.3749561,-90.9211056
San Marcos,14.9643813,-91.7943267
Colonia 20 de Octubre,14.3303115,-91.8883784
Huehuetenango,15.3184301,-91.4723295
San Pedro Soloma,15.658151,-91.4301437
Chiantla,15.355086,-91.4581586
San José La Máquina,14.3040004,-91.5647814
San Marcos Huista,15.6794974,-91.7058061
San Andres Huista,15.7243708,-91.7335827
Telemán,15.3400301,-89.7379035
El Cerinal,14.3326326,-90.4006132
San Vicente Buenabaj,15.0297369,-91.582241
Morazán,14.9325007,-90.1432267
Caballo Blanco,14.4951959,-91.8497718
San Juan Ostuncalco,14.8688919,-91.6217901
Villa Nueva,14.5308826,-90.5963325
Manzana 1,14.6513593,-91.5753271
Manzana 2,14.6516127,-91.5759371
Manzana 19,14.6527067,-91.5749235
Manzana 17,14.6522953,-91.57574
Manzana 16,14.6519674,-91.5769785
Manzana 18,14.6525666,-91.5763408
Manzana 3,14.6497854,-91.5771819
Manzana 4,14.6501074,-91.5775824
Manzana 5,14.6505515,-91.5779614
Manzana 6,14.6510523,-91.5783804
Manzana 15,14.6514502,-91.5793879
Manzana 7,14.651454,-91.5803796
Manzana 8,14.6517018,-91.5818879
Manzana 9,14.6512652,-91.5823189
Manzana 10,14.6510606,-91.5833596
Manzana 11,14.6511354,-91.5839288
Manzana 12,14.6515208,-91.5838109
Manzana 13,14.6519024,-91.5835548
Manzana 14,14.6520636,-91.5818595
San Miguel Pochuta,14.5451435,-91.0889917
Yepocapa,14.5003794,-90.9548087
Santo Tomás La Unión,14.6322567,-91.4107484
La Fragua,14.9610656,-89.5489331
Santa María Ixtahuatán,14.1899823,-90.2739341
San José Pinula,14.5458081,-90.4142844
La Democracia,14.2296204,-90.947895
El Chal,16.6427481,-89.6528958
El Porvenir,14.9648698,-91.9386058
Las Mercedes,14.7050819,-91.7647547
San José Nacahuil,14.764264,-90.4814104
Maraxcó,14.8510168,-89.5780654
Colotenango,15.4053531,-91.7155659
Comalapa,14.7380612,-90.896684
Comapa,14.112817,-89.9166691
Concepción las Minas,14.5220337,-89.461391
Conguaco,14.0480869,-90.0367284
El Adelanto,14.1733814,-89.8362779
El Asintal,14.5970809,-91.7382002
El Chol,14.9612142,-90.493269
El Jícaro,14.9123164,-89.8999215
El Palmar,14.6480948,-91.5659381
El Quetzal,14.7699546,-91.8213057
El Rodeo,14.9149185,-91.9804573
Esquipulas Palo Gordo,14.9406228,-91.830259
Granados,14.6333533,-91.6754218
Guanagazapa,14.2274773,-90.6483973
Ixchiguán,15.1655786,-91.9404173
Jerez,14.0930821,-89.7830202
Malacatancito,15.2440245,-91.5139677
Masagua,14.2039578,-90.8614993
Melchor de Mencos,17.0638807,-89.1752531
Nuevo San Carlos,14.5921285,-91.6986537
Olopa,14.6926107,-89.3518818
Palestina de los Altos,14.9337966,-91.6987825
Patzité,14.9639507,-91.209864
Petatán,15.6227369,-91.7357218
Río Blanco,15.0368903,-91.6908838
San Andrés Sajcabajá,15.174184,-90.9466696
San Andrés Semetabaj,14.7444425,-91.1417198
San Andrés Villa Seca,14.5781321,-91.5896273
San Andrés Xecul,14.9039806,-91.4844847
San Antonio Sacatepéquez,14.9609239,-91.7359364
San Antonio la Paz,14.7587396,-90.2946997
San Bartolo Aguas Calientes,15.1080973,-91.488952
San Bartolomé Jocotenango,15.1915379,-91.0827006
San Bernardino,14.5444767,-91.4700652
San Cristóbal Acasaguastlán,14.9253997,-89.877305
San Francisco la Unión,14.9244881,-91.5660965
San Gabriel,14.5116992,-91.5168858
San Gaspar Ixchil,15.3870493,-91.7309882
San Jacinto,14.7155865,-90.7783985
San José Chacayá,14.7707276,-91.2192679
San José Ojetenam,15.2338602,-91.9791914
San José del Golfo,14.7643383,-90.3809513
San José la Arada,14.7220614,-89.5907164
San Juan Atitán,15.4421859,-91.6354608
San Juan Bautista,14.4221805,-91.1850643
San Juan Ermita,14.7738025,-89.4420149
San Juan Tecuaco,14.0847558,-90.271296
San Juan la Laguna,14.6961185,-91.2912369
San Lorenzo,15.0304161,-91.7394663
San Lorenzo,14.4833,-91.5167
San Martín Zapotitlán,14.6055945,-91.6123294
San Miguel Panán,14.5287015,-91.3714779
San Miguel Siguilá,14.8997495,-91.6264488
San Pablo Jocopilas,14.5953886,-91.442492
San Pedro Necta,15.4917417,-91.7712236
San Pedro Pinula,14.6647024,-89.8504186
San Rafael La Independencia,15.704688,-91.542002
San Rafael Petzal,15.4040843,-91.6675186
San Sebastián Coatán,15.7358877,-91.5696717
San Sebastián Huehuetenango,15.3886565,-91.6197431
Santa Ana Huista,15.6807044,-91.8240201
Santa Apolonia,14.7904949,-90.9779549
Santa Bárbara,14.433163,-91.2372924
Santa Bárbara,15.3167,-91.6167
Santa Catarina Barahona,14.5538438,-90.7975173
Santa Catarina Ixtahuacán,14.8014175,-91.3699866
Santa Catarina Palopó,14.7198563,-91.1394936
Santa Cruz el Naranjo,14.3852175,-90.3750909
Santa Cruz la Laguna,14.7430161,-91.2087053
Santa Lucía Utatlán,14.7716146,-91.2706804
Santa Lucía la Reforma,15.1286699,-91.2406182
Santa María Visitación,14.7159288,-91.3123834
Sipacapa,15.2135902,-91.6434431
Tamahú,15.3087738,-90.2380407
Tectitán,15.3009905,-92.0778324
Tucurú,15.2936493,-90.1233038
Unión Cantinil,15.5852095,-91.7725234
Usumatlán,14.9481123,-89.7816897
Yupiltepeque,14.1998847,-89.8019458
Zapotitlán,14.1385052,-89.8349809
Zunilito,14.612322,-91.5177869
